Label,Raw_tweet,Cleaned_Traditional,Cleaned_GPT,Cleaned_GPT+Traditional,Translated_Traditional,Translated_GPT,Translated_GPT+Traditional
fear,"ketika idung nyium bau bau gaenak lalu temen yg rumahnya lumayan jauh ngechat di wa ""kalian nyium bau gas ga ?"" NJIRRR IYA INI BAU GAS  INI BUKAN GAS BERACUN KAN HUH ? KO JADI PARNO SIH",timbang timbang anakku sayang buah hati ku sepajang jalan siang malan aku selalu berdoa semoga kelak kamu bahagia selalu hari anak nasional,"Ketika hidung mencium bau tidak enak lalu teman yang rumahnya lumayan jauh mengirim pesan di WhatsApp ""kalian mencium bau gas ga?"" NJIRRR IYA INI BAU GAS INI BUKAN GAS BERACUN KAN HUH? KENAPA JADI PARANOID SIH",ketika hidung mencium bau tidak enak lalu teman yang rumahnya lumayan jauh mengirim pesan di whatsapp kalian mencium bau gas tidak nji iya ini bau gas ini bukan gas beracun kan apa kenapa jadi takut sih,"Weigh my dear child, my beloved child, all along the road day and night I always pray that in the future you will always be happy, National Children's Day","When your nose smells something bad and a friend who lives quite far away sends a message on WhatsApp ""do you smell gas?"" NJIRRR YES THIS SMELLS GAS THIS ISN'T POISONOUS GAS, RIGHT? WHY ARE YOU SO PARANOID","when your nose smells an unpleasant odor and then a friend whose house is quite far away sends a message on WhatsApp that you smell gas, no, yes, this smells like gas, this isn't poisonous gas, right? Why are you so scared?"
fear,"/rlt guys aku mau nanya. Aku bingung, aku ketrima u'p'n vj sama un air. Aku suka jurusan yg di u pn tp aku anak daerah, agak takut di jkt. Dan yg un air uda dibayar. Mohon sarannya.",rlt teman-teman saya ingin bertanya saya bingung saya diterima u p dan veteran jakarta sama un air saya suka jurusan yang di kamu pn tetapi saya anak daerah agak takut di jakarta dan yang un air sudah dibayar mohon sarannya,"Guys aku mau bertanya. Aku bingung, aku diterima upnvj sama universitas negeri. Aku suka jurusan yang di upn tp aku anak daerah, agak takut di Jakarta. Dan yang universitas negeri sudah dibayar. Mohon sarannya.",teman-teman saya ingin bertanya saya bingung saya diterima upnvj sama universitas negeri saya suka jurusan yang di Universitas Pembangunan Nasional tetapi saya anak daerah agak takut di jakarta dan yang universitas negeri sudah dibayar mohon sarannya,"rlt friends, I want to ask, I'm confused, I was accepted at U P and Veteran Jakarta and UN Air. I like the major that you are at, but I'm a regional kid and I'm a bit scared in Jakarta and UN Air has been paid for. Please give me your advice.","Guys, I want to ask. I'm confused, I was accepted by upnvj and a state university. I like the majors at upn but I'm a regional kid, a bit scared in Jakarta. And the state university has been paid for. Please give me advice.","My friends, I want to ask, I'm confused, I was accepted by UPNVJ and a state university. I like the majors at the National Development University, but I'm a regional child, I'm a bit scared in Jakarta and the state university has already been paid for. Please give me advice."
anger,"heii..hey km para kaum adam hr gini msih mau aj Trnsfer""/ DP""sedihh kan klw di block stelah Tf...mk ny yg Real"" aja klw mw ktmuan sma kaum hawa...hihiiihii",hai hey kamu para kaum adam hari begini masih ingin saja trnsfer uang muka sedih kan kalau di block setelah tf maka nya yang real saja kalau ingin ktmuan sama kaum hawa hihhii,"Hei, hey kamu para kaum Adam hari ini masih mau aja transfer atau DP sedih kan kalau diblock setelah transfer. Mungkin yang real aja kalau mau ketemuan sama kaum hawa. hehehe",hei hey kamu para kaum adam hari ini masih ingin saja transfer atau uang muka sedih kan kalau diblock setelah transfer mungkin yang real saja kalau ingin bertemu sama kaum hawa hehe,"Hey hey you men, these days you still want to transfer a down payment, it would be sad if you were blocked after the transfer, so just do it for real if you want to meet women, hih hii","Hey, hey you men today still want to transfer or DP, it's sad if you get blocked after the transfer. Maybe just be real if you want to meet women. hehehe","Hey hey you men today still want to transfer or make a down payment, it's sad if you get blocked after the transfer, maybe just make a real one if you want to meet women, hehe"
anger,dia ! emang'a apa kya a tahu ! masalah'a sih sepele tapi bisa bikin saya ngedown,dia memang a apa kaya a tahu masalah a sih sepele tetapi bisa buat saya ngedown,"Dia! Emangnya apa ya, kayaknya tau! Masalahnya sih sepele tapi bisa bikin saya down.",dia memangnya apa iya kayaknya tahu masalahnya sih sepele tetapi bisa buat saya down,He really is like a what a knows my problem is trivial but it can make me down,"Him! What is it, he seems to know! The problem is trivial but it can make me down.","What is he really like? It seems like he knows the problem, it's trivial but it can make me down"
anger,Hey kamuuhhh!! semoga qt dijauhkan dari keputusan yang bodoh ituu Selamat menjalankan ibadah puasa juga budiirrr@olfi_opi,hey kamuu semoga kita dijauhkan dari keputusan yang bodoh itu selamat menjalankan ibadah puasa juga budii,Hey kamu! Semoga kita dijauhkan dari keputusan yang bodoh itu. Selamat menjalankan ibadah puasa juga. @olfi_op,hey kamu semoga kita dijauhkan dari keputusan yang bodoh itu selamat menjalankan ibadah puasa juga,"Hey you, hopefully we will be kept away from stupid decisions. Happy fasting and good deeds",Hey you! Hopefully we will be kept away from that stupid decision. Happy fasting too. @olfi_op,"Hey you, hopefully we will be kept away from that stupid decision. Happy fasting too"
love,"Tadi Siang,Aku Mimpi Bang Tomi.Di Mimpi Itu Aku dan Bang Tomi Kelihatan Akrab...bngt.Sampe,Bang Tomi Ngerangkul Pundak Aku Erat...bngt.Apa,ya...Arti Mimpi itu...???",tadi siang aku mimpi bang tomi di mimpi itu saya dan bang tomi kelihatan akrab banget sampai bang tomi ngerangkul pundak saya erat banget apa iya arti mimpi itu,"Tadi siang, aku mimpi Bang Tomi. Di mimpi itu aku dan Bang Tomi kelihatan akrab banget. Sampe, Bang Tomi merangkul pundak aku erat banget. Apa, ya...Arti mimpi itu...?",tadi siang saya mimpi bang tomi di mimpi itu saya dan bang tomi kelihatan akrab banget sampai bang tomi merangkul pundak saya erat banget apa iya arti mimpi itu,"This afternoon I dreamed of Bang Tomi. In the dream, Bang Tomi and I looked really close to each other, until Bang Tomi hugged my shoulders really tightly. Is that really the meaning of the dream?","This afternoon, I dreamed of Bang Tomi. In the dream, Bang Tomi and I looked really close. Bang Tomi even hugged my shoulders really tightly. What, yeah... does that dream mean...?","This afternoon I dreamed of Mr. Tomi. In the dream, Mr. Tomi and I looked really close to each other, to the point where Mr. Tomi hugged my shoulders really tightly. Is that really the meaning of the dream?"
happy,"Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: Iiikancut luuu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter",ingat tebak tebakan dulu budi ikan ikan apa yang bentuknya segitiga aisyah ikan sepat budi kurang tepat sayang aisyah terus apa dong mendesak penasaran budi kancut l nb seketika hening detik kemudian tertawa malu wkwkwkwk recehkan twitter,"Inget tebak tebakan dulu: Budi: ikan, ikan apa yang bentuknya segitiga? Aisyah: Ikan Sepat Budi: kurang tepat ayy Aisyah: trus apa dong! *Mendesak penasaran Budi: ikancutlu.. Nb: Seketika hening, 5 detik kemudian tertawa malu. Wkwkwkwk #recehkantwitter",ingat tebak tebakan dulu budi ikan ikan apa yang bentuknya segitiga aisyah ikan sepat budi kurang tepat sayang aisyah terus apa dong mendesak penasaran budi ikancutlu nb seketika hening detik kemudian tertawa malu wkwkwkwk recehkan twitter,remember guess first budi what kind of fish is triangular aisyah sepat fish budi not quite right dear aisyah then what should i do urgently curious budi kancut l nb suddenly silent for a second then laugh embarrassed wkwkwkwk belittle twitter,"Remember the guessing game first: Budi: fish, what kind of fish is triangular in shape? Aisyah: Sepat Fish Budi: not quite right ayy Aisyah: then what! *Pushing curiosity Budi: cutlu fish.. Nb: Suddenly silent, 5 seconds later laughing embarrassedly. Lwkwkwk #recehkantwitter",remember guess first Budi what kind of fish is triangular Aisyah sepat fish Budi is not quite right dear Aisyah then what should I do urgently curious Budi ikancutlu nb suddenly silent for a second then laugh embarrassedly wkwkwkwk belittle twitter
fear,"+ Oleh paman nya kemarin. Namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini mas jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang +",oleh paman nya kemarin namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa satu buah papan nama bertuliskan namanya ini mas jefry tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang,"Oleh paman nya kemarin. Namun tiba-tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa sebuah papan nama bertuliskan namanya. ""Ini Mas Jefry?"" Tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang.",oleh paman nya kemarin namun tiba tiba ada seorang pria paruh baya datang menghampiri nya sambil membawa satu buah papan nama bertuliskan namanya ini mas jefry tanya nya dengan agak sedikit ragu karena sepertinya dia takut salah mengira orang,"by his uncle yesterday but suddenly a middle-aged man came over to him carrying a nameplate with his name written on it, ""This is Mr. Jefry,"" he asked with a little hesitation because it seemed he was afraid of mistaking the person.","By his uncle yesterday. But suddenly a middle-aged man approached him carrying a nameplate with his name on it. ""Is this Mas Jefry?"" he asked with a little hesitation because it seemed he was afraid of mistaking someone.","by his uncle yesterday but suddenly a middle-aged man came over to him carrying a nameplate with his name written on it, ""This is Mr. Jefry,"" he asked with a little hesitation because it seemed he was afraid of mistaking the person."
anger,"[USERNAME] .... Harga sepatu saja 13,6 jt.... Gimana mau bicara rakyat miskin.....?? Harga sepatu 13, 6 jt. Itu = 6 x rata2 UMR /bln Rakyat ..... Masih mau ngomong kemiskinan Rakyat....??",harga sepatu saja juta bagaimana ingin bicara rakyat miskin harga sepatu juta itu x rata upah minimum regional bulan rakyat masih ingin bicara kemiskinan rakyat,"[USERNAME], harga sepatu saja 13,6 juta. Bagaimana mau bicara soal rakyat miskin? Harga sepatu 13,6 juta itu sama dengan enam kali rata-rata UMR per bulan rakyat. Masih mau membahas kemiskinan rakyat?",harga sepatu saja juta bagaimana ingin bicara soal rakyat miskin harga sepatu juta itu sama dengan enam kali rata rata upah minimum regional per bulan rakyat masih ingin membahas kemiskinan rakyat,"The price of shoes alone is millions, how can you talk about poor people? The price of shoes is millions x the average regional minimum wage per month. The people still want to talk about the people's poverty.","[USERNAME], the price of shoes alone is 13.6 million. How can you talk about the poor? The price of shoes is 13.6 million, which is equal to six times the average monthly minimum wage for the people. Do you still want to talk about the people's poverty?","The price of shoes alone is in the millions, how can we talk about poor people? The price of shoes in the millions is the same as six times the average regional minimum wage per month. People still want to talk about poverty."
anger,#CalonPenghuniNeraka INI SERIUS Buat elu semua para player troll player toxic player noob terutama di game vainglory Elu gak gue maafin. Jancok Neraka bangsaaaaat,calon penghuni neraka ini serius buat lu semua para player memancing kemarahan player toxic player cupu terutama di game vainglory lu tidak saya memaafi jancok neraka bangsaat,"#CalonPenghuniNeraka INI SERIUS Buat kalian semua para pemain troll, pemain toxic, pemain noob terutama di game vainglory Kalian tidak akan aku maafkan. Jancok, Neraka bangsat!",calon penghuni neraka ini serius buat kalian semua para pemain memancing kemarahan pemain toxic pemain cupu terutama di game vainglory kalian tidak akan saya maafkan jancok neraka bangsat,"This hellish candidate is serious for all of you players who provoke the anger of toxic players, especially in the Vainglory game, I don't forgive you, you're a hellish bastard, bro.","#HellHouseHouseholder THIS IS SERIOUS For all of you troll players, toxic players, noob players especially in vainglory game I will not forgive you. Fuck you, Hell bastards!","These hellish residents are serious about all of you players who provoke the anger of toxic players, especially in the vainglory game, I will not forgive you, you bastards of hell"
happy,"LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side nya gitu tp jir berhasil banget, vibe nya fierce tp vurnerable + seducing at the same time. W paling suka lagu Love Leaks sm I've Been Fine [URL]",lovelaws tt tidak paham saya sama mbak gitaris warpaint satu ini keren banget saya dengar album ini mirip exposing dia romantic samping nya begitu tetapi anjing berhasil banget atmosfer nya fierce tetapi rentan menggoda at the sama time saya paling suka lagu cinta leaks sama i ve sudah fine,"LoveLaws - TT (2018) Gak paham gue sama mbak gitaris Warpaint satu ini, keren banget. Gue denger album ini kayak exposing her romantic side-nya gitu tapi jir berhasil banget, vibe-nya fierce tapi vulnerable dan seducing at the same time. W paling suka lagu Love Leaks sama I've Been Fine [URL]",lovelaws tt tidak paham saya sama mbak gitaris warpaint satu ini keren banget saya dengar album ini mirip exposing dia romantic samping nya begitu tetapi anjing berhasil banget atmosfer nya fierce tetapi vulnerable dan menggoda at the sama time saya paling suka lagu cinta leaks sama i ve sudah fine,"lovelaws tt I don't understand the same thing as the guitarist Warpaint, this one is really cool, I heard this album is similar to exposing, he's romantic, but the dog is really successful, the atmosphere is fierce but prone to teasing, at the same time I like the love song leaks the most, I've already been fine","LoveLaws - TT (2018) I don't understand this Warpaint guitarist, she's really cool. I heard this album like exposing her romantic side but Jir really succeeded, the vibe is fierce but vulnerable and seducing at the same time. I like the songs Love Leaks and I've Been Fine the most [URL]","lovelaws tt I don't understand the same thing as the guitarist Warpaint, this one is really cool, I heard this album is similar to exposing, he's romantic, but the dog is really successful, the atmosphere is fierce but vulnerable and tempting, at the same time I like the love song leaks the most, I've already been fine"
happy,Dulu kaya hampir setengah jam atau 2*x sesi jelasin org korea kata *Cie*...sampe pake di dramain biat pd nyambung... Akhirnya baru pd ngerti dan nemu padanan kata ke korea.. trus skrg gw yg lupa bhs koreanya cie apa hahahhaa [URL],dulu kayak hampir setengah jam atau x sesi jelasin orang korea kata cie sampai pakai di dramain agar pada menyambung akhirnya baru pada mengerti dan temu padanan kata ke korea terus sekarang saya yang lupa bahas koreanya cie apa tertawa,"Dulu kaya hampir setengah jam atau dua kali sesi jelasin orang Korea kata ""Cie"" ... sampai pake di drama biar pada nyambung ... Akhirnya baru pada ngerti dan nemu padanan kata ke Korea .. trus sekarang gw yang lupa bahasa Koreanya cie apa hahahhaa [URL]",dulu kayak hampir setengah jam atau dua kali sesi jelasin orang korea kata cie sampai pakai di drama biar pada menyambung akhirnya baru pada mengerti dan temu padanan kata ke korea terus sekarang saya yang lupa bahasa koreanya cie apa tertawa,"Previously, it was like almost half an hour or x sessions explaining the Korean word cie until it was used in a drama so that when they connected, they finally understood and found the equivalent word for Korean. Now, I've forgotten what the Korean word cie is and I'm laughing.","It used to be like almost half an hour or two sessions explaining the Korean word ""Cie"" ... until it was used in a drama so that everyone would understand ... Finally, everyone understood and found the Korean equivalent ... and now I'm the one who forgot what the Korean word for cie is, hahahhaa [URL]",It used to be like almost half an hour or two sessions explaining the Korean word cie until it was used in dramas so that people would connect and finally understand and find the equivalent word for Korean. Now I've forgotten the Korean word cie and I'm laughing.
fear,punya kebiasaan kekamar mandi tengah malem berhubung kamarmandinya lagi dibenerin jadi pake kamarmandi tempat lain tapi kamarmandinya serem I'm scared &gt&,punya kebiasaan ke kamar mandi tengah malam berhubung kamarmandinya sedang dibenarkan jadi pakai kamarmandi tempat lain tetapi kamarmandinya seram i sama takut begitu,"Punya kebiasaan ke kamar mandi tengah malam berhubung kamar mandinya lagi diperbaiki jadi pakai kamar mandi tempat lain tapi kamar mandinya serem, I'm scared 😨",punya kebiasaan ke kamar mandi tengah malam berhubung kamar mandinya sedang diperbaiki jadi pakai kamar mandi tempat lain tetapi kamar mandinya seram i sama takut,I have a habit of going to the bathroom in the middle of the night because the bathroom is being repaired so I use another bathroom but the bathroom is scary and I'm scared.,"I have a habit of going to the bathroom in the middle of the night because the bathroom is being repaired so I use another bathroom but the bathroom is scary, I'm scared 😨",I have a habit of going to the bathroom in the middle of the night because the bathroom is being repaired so I use another bathroom but the bathroom is scary and I'm afraid
anger,"ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SKRG LAMBAT BGT INSTAGRAM GA KE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSEN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SELAMBAT INI [USERNAME]",eling tidak sih nih biasanya secepat kilat sekarang lambat sangat instagram tidak ke refresh sama sekali twitter juga sama bagaimana nih bosan menanyakan nomor terus tetapi sudah hari selambat ini,"ELING GA SIH NIH 3????!!!!!! BIASANYA SECEPAT KILAT, SEKARANG LAMBAT BANGET INSTAGRAM GAKE REFRESH SAMA SEKALI TWITTER JUGA SAMA!!!!!!!!!!! GIMANA NIH? BOSAN NANYAIN NOMOR MULU TAPI UDAH 5 HARI SE LAMBAT INI.",eling tidak sih nih biasanya secepat kilat sekarang lambat sekali instagram gake refresh sama sekali twitter juga sama bagaimana nih bosan menanyakan nomor terus tetapi sudah hari se lambat ini,"I don't remember this, usually it's lightning fast, now it's very slow, Instagram doesn't refresh at all, Twitter is the same, how come I'm tired of asking for numbers all the time but it's already this slow","DO YOU REMEMBER THESE 3????!!!!!! USUALLY IT'S LIGHTNING FAST, NOW IT'S SO SLOW INSTAGRAM DOESN'T REFRESH AT ALL TWITTER IS THE SAME!!!!!!!!!!!! WHAT'S THIS? TIRED OF ALWAYS ASKING FOR THE NUMBER BUT IT'S ALREADY THIS SLOW FOR 5 DAYS.","remember this, usually it's lightning fast, now it's really slow, Instagram doesn't refresh at all, Twitter is the same, how come I'm tired of asking for numbers all the time but it's already this slow"
fear,[USERNAME] demi apapun w takut ama ntu hewan. trauma pernah digigit dan w abis itu ke rumah sakit gegara keracunan. padahal digigit sama yang kecil masih anaknya gitu tapi buset dah w langsung pusing lemes. jadi ampe sekarang kalau ngeliat ini hewan langsu,demi apa pun saya takut sama itu hewan trauma pernah digigit dan saya habis itu ke rumah sakit gegara keracunan padahal digigit sama yang kecil masih anaknya begitu tetapi buset sudah saya langsung pusing lemas jadi sampai sekarang kalau melihat ini hewan langsung,Demi apapun aku takut akan hewan itu. Trauma pernah digigit dan aku abis itu ke rumah sakit gegara keracunan. Padahal digigit sama yang kecil masih anaknya gitu tapi buset dah aku langsung pusing lemes.,demi apa pun saya takut akan hewan itu trauma pernah digigit dan saya habis itu ke rumah sakit gegara keracunan padahal digigit sama yang kecil masih anaknya begitu tetapi buset sudah saya langsung pusing lemas,"For whatever reason, I'm afraid of that animal. I was traumatized by being bitten and then I went to the hospital because of poisoning even though I was bitten by a small one, it was still a cub, but wow, I immediately felt dizzy and weak, so until now, when I see this animal, I immediately get scared.","For whatever reason, I'm afraid of that animal. I was traumatized by being bitten and then I went to the hospital because of poisoning. Even though I was bitten by a small one, still a cub, but damn it, I immediately felt dizzy and weak.","For whatever reason, I'm afraid of that animal. I was traumatized by being bitten and then I went to the hospital because of poisoning even though I was bitten by a small one, it was still a cub, but wow, I immediately felt dizzy and weak."
love,":: meski aku golput.. tp salut [USERNAME] .. ia satu2nya presiden #RakyatIndonesia yg bisa menangis di depan publik... :: memang tak sedikit lawan2 politiknya.. mngcap dia sombong.. :: tapi, nyatanya, ia menangis.. :: :: #SaveNKRI [URL]",meski saya golongan putih tetapi salut ia satu nya presiden rakyatindonesia yang bisa menangis di depan publik memang tidak sedikit lawan politiknya mengecap dia sombong tetapi nyatanya ia menangis savenkri,"Meski aku golput, tapi salut [@USERNAME] ... ia satu-satunya presiden #RakyatIndonesia yang bisa menangis di depan publik... Memang tak sedikit lawan politiknya menilainya sombong... Tapi, nyatanya, ia menangis... #SaveNKRI [URL]",meski saya golongan putih tetapi salut ia satu satu nya presiden rakyatindonesia yang bisa menangis di depan publik memang tidak sedikit lawan politiknya menilainya sombong tetapi nyatanya ia menangis savenkri,"Even though I am a white person, I salute him, he is the only Indonesian president who can cry in public. Indeed, many of his political opponents label him arrogant, but in fact he cries, Savenkri","Even though I abstained from voting, I salute [@USERNAME] ... he is the only president of the #IndonesianPeople who can cry in public... Indeed, many of his political opponents consider him arrogant... But, in fact, he cried... #SaveNKRI [URL]","Even though I am a white person, I salute him, he is the only Indonesian president who can cry in public. Indeed, many of his political opponents consider him arrogant, but in fact he cried. Savenkri"
anger,bacot parah galak kalau udah marah jan mau deh dimarahin lex. caca aja kapokgabisa dibohongin kalau ttg cinta tp knpa ttg lainnya lu bege ya susah beud disuruh tidur atau makan my human diary yang kita dkt gatau grgr,banyak bicara parah galak kalau sudah marah jangan ingin deh dimarahi lex caca saja kapok gabisa dibohongin kalau tentang cinta tetapi kenapa tentang lainnya kamu bege iya susah banget disuruh tidur atau makan my manusia diary yang kita dekat tidak tahu gara gara,"Bacotnya parah, galak banget kalau sudah marah. Nggak mau deh dimarahin lagi sama Lex. Caca aja kapok. Nggak bisa dibohongi soal cinta, tapi kenapa soal yang lain kamu bandel banget, ya? Susah banget disuruh tidur atau makan. My human diary, kita dekat tapi nggak tahu kenapa begini",bacotnya parah galak sekali kalau sudah marah tidak ingin deh dimarahi sedang sama lex caca saja kapok tidak bisa dibohongi soal cinta tetapi kenapa soal yang lain kamu bandel banget iya susah sekali disuruh tidur atau makan my manusia diary kita dekat tetapi tidak tahu kenapa begini,"talk a lot, really fierce when angry, don't let Lex get angry, Caca is fed up, you can't lie to him when it comes to love, but why are you so stupid when it comes to other things? It's really hard to get him to sleep or eat, my human diary, we don't know why","His mouth is terrible, he's really fierce when he's angry. I don't want to be scolded by Lex anymore. Caca is fed up. I can't lie about love, but why are you so stubborn about other things? It's really hard to get him to sleep or eat. My human diary, we're close but I don't know why it's like this","Your mouth is really fierce, you don't want to be scolded when you're angry, even with Lex Caca, you're fed up, you can't lie to him about love, but why are you so stubborn about other things? Yes, it's really hard to get him to sleep or eat, my human diary, we're close but I don't know why it's like this"
fear,"[USERNAME] nyabutnya santae aja pake jari asal jgn kena kuku. beli softlennya yg emg bagus dan jelas. dulu ku pernah beli soflen di tmn cuma yg warna22an gt biasanya item. terus lg gangapa22in ujug22 gatel perih etaunya robek :,( untung cepet22 dikeluari",nyabutnya santae saja pakai jari asal jangan kena kuku beli softlennya yang memang bagus dan jelas dulu aku pernah beli softlense di teman cuma yang warna an begitu biasanya hitam terus sedang gangapa ini ujug gatal perih etaunya robek untung cepat dikeluari,@[USERNAME] nyabutnya santai saja pakai jari asal jangan kena kuku. beli softlens yang memang bagus dan jelas. dulu ku pernah beli softlens di teman cuma yang warna-warni gitu biasanya item. terus lagi gangapain itu ujung-ujungnya gatel perih ketahuan robek :( untung cepat-cepat dikeluarkan,nyabutnya santai saja pakai jari asal jangan kena kuku beli softlens yang memang bagus dan jelas dulu aku pernah beli softlens di teman cuma yang warna warni begitu biasanya hitam terus sedang tidak berbuat apa-apa itu ujung ujungnya gatal perih ketahuan robek untung cepat cepat di keluar kan,"Just pull it out with your fingers, but don't touch your nails. Buy soft lenses that are good and clear. I once bought soft lenses from a friend, but they were usually black and then I got them and they ended up itchy and sore, or they tore. Luckily they were taken out quickly.","@[USERNAME] just pull it out with your finger but don't touch your nails. Buy contact lenses that are good and clear. I used to buy contact lenses from a friend but the colored ones were usually black. Then what do I do, in the end it's itchy and sore when I find out it's torn :( luckily I took it out quickly","Pull it out casually using your fingers as long as it doesn't touch your nails. Buy good, clear contact lenses. I once bought contact lenses from a friend, but the colored ones were usually black. If I didn't do anything, it would end up itchy and sore. If I found out it was torn, luckily I took it out quickly."
fear,Hanya mampu retweet bagi peminat cerita seram tengok je lah. Saya penakut. Kalau tengok kat wayang ni dengar suara aku sorang je menjerit walaupun tutup mata,hanya mampu retweet bagi peminat cerita seram tengok je lah saya penakut kalau tengok kat wayang ini dengar suara saya seorang je menjerit walaupun tutup mata,Hanya mampu retweet bagi peminat cerita seram tengok saja. Saya penakut. Kalau tengok di wayang ini dengar suara aku sorang saja menjerit walaupun tutup mata,hanya mampu retweet bagi peminat cerita seram tengok saja saya penakut kalau tengok di wayang ini dengar suara saya seorang saja menjerit walaupun tutup mata,"can only retweet for those who are interested in scary stories, look at me, I'm scared if I look at this wayang, I can hear my voice screaming even if I close my eyes","Only able to retweet for those who are interested in scary stories. I'm scared. If you look at this puppet, you can hear the sound of me screaming even though I close my eyes","can only retweet for those who are interested in scary stories, just look, I'm scared when I look at this wayang, I hear my voice, someone screams even though they close their eyes"
love,"Haha, tiap hari juga kamu selalu terpesona dan semakin terpesona sama aku kkk~",tertawa tiap hari juga kamu selalu terpesona dan semakin terpesona sama saya ,"Haha, setiap hari juga kamu selalu terpesona dan semakin terpesona sama aku hehe",tertawa setiap hari juga kamu selalu terpesona dan semakin terpesona sama saya he,laughing every day you are always fascinated and more and more fascinated by me,"Haha, every day you are always fascinated and increasingly fascinated by me hehe",laugh every day also you are always fascinated and more and more fascinated by me he
fear,Apa yang akan kamu lakukan jika ada singa masuk ke rumahmu? nyuruh singanya makan kau. biar mati kenak makan singa. uh ngeri ya off anonla m h e h e,apa yang akan kamu lakukan jika ada singa masuk ke rumahmu Suruh singa nya makan kau biar mati kenak makan singa uh negeri iya off anonla sama h e h e,"Apa yang akan kamu lakukan jika ada singa masuk ke rumahmu? Menyuruh singanya makan kamu, biar mati kenak makan singa. Uh, ngeri ya...",apa yang akan kamu lakukan jika ada singa masuk ke rumahmu menyuruh singa nya makan kamu biar mati kenak makan singa uh negeri iya,what would you do if a lion came into your house Tell the lion to eat you so you die so you can eat the lion uh country yeah off anonla same h e h e,"What would you do if a lion came into your house? Tell the lion to eat you, so that the lion will eat you and die. Ugh, that's scary...",what would you do if a lion came into your house and told the lion to eat you so you would die and be eaten by the lion uh yes
love,"Kalo udah sayang beneran itu mau dihadapkan sama cowok yang lebih tajir +++, ganteng +++, pinter +++, serba +++, dll itu pasti bakalan tetep ga mau berpindah",kalau sudah sayang benar itu ingin dihadapkan sama cowok yang lebih kaya ganteng pintar serba dan lain itu pasti akan tetap tidak ingin berpindah,"Kalau sudah sayang benaran itu mau dihadapkan sama cowok yang lebih tajir, ganteng, pinter, serba positif, dan lain-lain itu pasti bakalan tetap tidak mau berpindah",kalau sudah sayang benaran itu ingin dihadapkan sama cowok yang lebih kaya ganteng pintar serba positif dan lain lain itu pasti akan tetap tidak ingin berpindah,"If you really love someone and want to be faced with a guy who is richer, more handsome, smarter and so on, you definitely won't want to move.","If you really love someone, if you are faced with a guy who is richer, more handsome, smarter, more positive, etc., you will definitely not want to move.","If you really love someone, you want to be faced with a guy who is richer, more handsome, smart, positive, etc., you will definitely not want to move."
fear,"[USERNAME] Lagi main di rumah temen tuh. Pas pipis liat cd udah merah gitu. Langsung izin pulang bilangnya mendadak sakit Pas sampe rumah bilang, ""itu""kakak berdarah mah. Takut. Soalnya emang pas main jatuh. Pas diliat dibilang mens. Hue besoknya pe",sedang main di rumah teman tuh pas kencing lihat cd sudah merah begitu langsung izin pulang katanya mendadak sakit pas sampai rumah bilang itu kakak berdarah mah takut sebab memang pas main jatuh pas dilihat dibilang mens hue besoknya pe,"[USERNAME] Lagi main di rumah temen tuh. Pas pipis, lihat celana dalam udah merah gitu. Langsung izin pulang, bilangnya mendadak sakit. Pas sampai rumah bilang, 'Itu, Kak, berdarah, mah. Takut.' Soalnya emang pas main jatuh. Pas dilihat, dibilang mens. Huh, besoknya pusing.",sedang main di rumah teman tuh pas kencing lihat celana dalam sudah merah begitu langsung izin pulang katanya mendadak sakit pas sampai rumah bilang itu kakak berdarah mah takut sebab memang pas main jatuh pas dilihat dibilang mens apa besoknya pusing,"I was playing at a friend's house when I peed and saw that my underwear was red so I immediately asked permission to go home and said I suddenly felt sick when I got home I said my sister was bleeding because I was scared because I fell when I was playing and when I looked at it, I said she was menstruating the next day.","[USERNAME] I was playing at my friend's house. When I peed, I saw that my underwear was already red. I immediately asked permission to go home, saying that I suddenly felt sick. When I got home, I said, 'That, Sis, is bleeding. I was scared.' Because I fell while playing. When I looked, I said it was my period. Huh, the next day I had a headache.","I was playing at a friend's house when I peed and saw that my underwear was red so I immediately asked permission to go home and said that I suddenly felt sick. When I got home, I said that my sister was bleeding. I was scared because I fell while playing. When I looked, I said that I was menstruating or that the next day I would have a headache."
